incident_county,incident_acres_burned,longitude,latitude
Sierra,747,-120.027222,39.439722
Santa Clara,70,-121.68562,37.25014
Butte,10,-121.33785,39.50475
Santa Barbara,50,-120.13249,34.72379
San Bernardino,460,-117.10567,34.09773
San Diego,400,-116.85396,32.84796
Lassen,83733,-120.14013,40.07045
Santa Clara,101,-121.8179,37.39801
Calaveras,59,-120.85322,38.18303
Riverside,32,-117.07975,33.62613
San Bernardino,46,-117.189,34.149
Marin,35,-122.77846,38.08055
Riverside,10,-117.24091,33.77896
Monterey,40,-121.74826,36.66684
Mendocino,900,-123.28825,39.30125
Mariposa,81826,-120.21321,37.61757
Mendocino,20,-123.10227,39.13207
Fresno,1649,-120.55579,35.95911
Colusa,70,-122.20127,39.01224
Calaveras,117,-120.62177,38.29113
Modoc,15,-120.56933,41.45589
Lake,40,-122.62382,38.86056
Tulare,59,-118.78928,36.18815
Kings,2312,-120.05404,36.05187
Humboldt,19,-123.57562,40.39799
Kern,1083,-119.44751,34.94373
Shasta,180,-122.43608,40.47106
Riverside,72,-117.25075,33.75526
Tulare,58,-118.99944,36.64404
Glenn,0,-122.17657,39.75425
Tulare,2289,-118.94252,36.0226
Siskiyou,0,-123.508,41.702
Tuolumne,124,-120.36005,37.90014
Los Angeles,135,-118.851943,34.792882
Riverside,63,-117.18552,33.81976
Stanislaus,19,-120.65764,37.81827
Butte,103,-121.74121,39.76243
Plumas,4310,-120.9761,39.9034
Tuolumne,690,-120.408135,37.905545
San Luis Obispo,47,-120.5634,35.06472
Nevada,10,-120.97586,39.36902
El Dorado,140,-120.70013,38.559707
Tulare,416,-119.06598,36.22265
Sacramento,1286,-121.104,38.5181
Santa Clara,51,-121.84108,37.44485
Del Norte,319,-123.506,41.478
San Bernardino,85,-117.14466,34.20152
San Diego,255,-116.66107,33.34659
San Bernardino,20,-117.199,34.139
El Dorado,13,-120.73757,38.69775
San Luis Obispo,150,-120.23656,35.7751
Yuba,39,-121.3519,39.06522
Santa Clara,78,-121.55552,36.96607
San Bernardino,170,-117.03031,34.41204
Tehama,57,-122.3209,40.1583
Nevada,15,-120.95498,39.16826
Tuolumne,20,-120.31157,37.65986
Shasta,17,-122.17384,40.69259
Siskiyou,155,-121.9741,41.9808
El Dorado,236,-121.039267,38.538332
Kern,1350,-118.654,35.543
Sonoma,11,-122.90217,38.70289
San Bernardino,100,-117.26969,34.19076
Riverside,200,-117.396404,33.689092
Trinity,32,-123.39253,40.79902
San Luis Obispo,70,-120.2913,35.4403
San Luis Obispo,460,-120.28037,35.40357
Modoc,0,-120.304,41.338
Humboldt,85,-123.76099,40.11794
San Bernardino,325,-117.03826,34.08492
Los Angeles,10,-117.85182,34.23925
Humboldt,30,-123.64281,40.27582
Lake,62,-122.81135,38.94599
Riverside,122,-117.239099,34.009026
Kern,50,-118.47307,35.70639
Plumas,1020,-120.1397,39.75371
Lassen,530,-120.74968,41.11989
Lassen,859,-120.066,39.888
Riverside,92,-116.8247,33.57139
Monterey,82,-120.64584,35.86596
Trinity,4736,-123.36882,40.17598
Kern,338,-118.9267,34.92907
Santa Clara,100,-121.68165,37.14653
Tehama,15,-122.5415,39.87983
Napa,114,-122.2483,38.49336
Riverside,19,-117.124538,33.797216
San Luis Obispo,775,-120.77485,35.7908
Siskiyou,41,-122.9401,41.99279
Riverside,1044,-117.30819,33.98212
Mariposa,125,-120.30046,37.62823
Mariposa,8094,-119.618,37.644
Mariposa,7000,-119.598,37.538
Riverside,545,-116.88066,33.95036
Shasta,17,-121.5935,40.92602
Riverside,168,-117.00258,33.87679
Yuba,867,-121.32957,39.1234
Plumas,186,-120.89746,39.9864
Siskiyou,78698,-123.474,41.841
Tulare,2295,-118.296,36.257
San Diego,200,-116.42907,32.65003
Siskiyou,3142,-123.676,41.853
Modoc,7697,-120.321,41.466
Alameda,200,-121.90516,37.72543
Fresno,31,-120.443545,36.099681
San Diego,62,-116.46989,33.20988
Lassen,157,-120.48641,40.80968
Tehama,40,-122.70449,40.29831
Fresno,111,-119.43376,36.93332
Alameda,44,-121.56425,37.56181
Sonoma,18,-122.71998,38.26294
Riverside,46,-117.3968,33.6444
